FSR2_Right,Gyro_Left_Ankle,Gyro_Left_Knee,Accel_Left_Knee,Temperature_Left_Knee,Pot_Left_Hip,Accel_Left_Foot,Gyro_Right_Ankle,FSR2_Left,Temperature_Right_Ankle,Accel_Right_Knee,Temperature_Left_Foot,FSR1_Left,Temperature_Right_Foot,Accel_Right_Foot,Pot_Left_Ankle,Pot_Right_Ankle,Accel_Center,Pot_Right_Hip,Gyro_Left_Foot,FSR3_Right,Gyro_Center,Accel_Right_Ankle,Temperature_Right_Knee,FSR3_Left,Pot_Left_Knee,Pot_Right_Knee,Temperature_Center,FSR1_Right,Gyro_Right_Knee,Accel_Left_Ankle,Gyro_Right_Foot,Temperature_Left_Ankle
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
1,"6, 5, 4","6, 5, 4","3, 2, 1",8,1,"3, 2, 1","6, 5, 4",1,8,"3, 2, 1",8,0,8,"3, 2, 1",0,1,"3, 2, 1",2,"6, 5, 4",2,"6, 5, 4","3, 2, 1",8,2,2,0,8,0,"6, 5, 4","3, 2, 1","6, 5, 4",8
